Country,Region,Sales Person,Date of Purchase,Total,Quantity
India,North,John,8/12/2017 0:00:00,100000,567
US,North,Bill,10/12/2011 0:00:00,120000,3000
UK,North,Thomas,4/11/2010 0:00:00,140000,345
Australia,East,John,11/26/2010 0:00:00,160000,1000
Africa,East,Bill,8/14/2014 0:00:00,180000,123
Singapore,East,Thomas,1/16/2014 0:00:00,200000,1000
Mylasia,West,John,7/7/2014 0:00:00,1000000,7890
India,West,Bill,11/6/2010 0:00:00,240000,200
US,West,Thomas,7/29/2011 0:00:00,26000000,1000
UK,North,John,2/27/2016 0:00:00,100000,1000
Australia,North,Bill,5/12/2017 0:00:00,120000,567
Africa,North,Thomas,8/16/2016 0:00:00,140000,1000
Singapore,East,John,3/26/2013 0:00:00,160000,892
Mylasia,East,Bill,2/20/2012 0:00:00,180000,444
India,East,Thomas,12/26/2012 0:00:00,200000,90
US,West,John,12/5/2010 0:00:00,220000,90
UK,West,Bill,2/5/2010 0:00:00,240000,90
Australia,West,Thomas,4/28/2014 0:00:00,260000,90
Africa,North,John,1/5/2018 0:00:00,140000,85
Singapore,North,Bill,4/28/2018 0:00:00,150000,85
